time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-10-19 00:00,3169160,3124044,3010463,6723297,4405,2513,670
2024-10-20 00:00,3183464,3124044,3010620,6723297,4460,1983,127
2024-10-21 00:00,3193645,3124044,3016331,6723297,2359,2327,145
2024-10-22 00:00,3195417,3130980,3016331,6724922,1759,1884,30
2024-10-23 00:00,3198116,3136911,3016331,6746096,2108,4149,38
2024-10-24 00:00,3201740,3143276,3016331,6754526,2104,679,39
2024-10-25 00:00,3205182,3148212,3016331,6778001,3281,2029,99
2024-10-26 00:00,3207592,3157698,3016331,6782346,2567,3013,37
2024-10-27 00:00,3217609,3157698,3028117,6782346,1898,1578,38
2024-10-28 00:00,3226183,3157698,3035251,6782346,2843,2640,37
2024-10-29 00:00,3228889,3165653,3035251,6782631,2194,1335,35
2024-10-30 00:00,3230955,3171075,3035251,6784164,2982,1912,34
2024-10-31 00:00,3232994,3180913,3035251,6786001,2147,1919,41
2024-11-01 00:00,3235503,3188274,3035251,6787583,2349,2311,37
2024-11-02 00:00,3237821,3198358,3035251,6787677,3823,2455,389
2024-11-03 00:00,3254274,3198358,3040024,6787677,2424,2315,39
2024-11-04 00:00,3268814,3198358,3056464,6787677,2842,1918,36
2024-11-05 00:00,3273092,3207799,3056464,6787785,2088,1845,36
2024-11-06 00:00,3278702,3218636,3056464,6797147,2642,1180,83
2024-11-07 00:00,3283598,3229187,3056464,6797260,2046,781,41
2024-11-08 00:00,3288547,3242564,3056464,6797263,2809,2395,42
2024-11-09 00:00,3294795,3266153,3056464,6797265,3855,2170,668
2024-11-10 00:00,3319113,3266153,3056479,6797265,1283,1701,38
2024-11-11 00:00,3331444,3266153,3056557,6797265,1899,1835,42
2024-11-12 00:00,3335524,3274543,3056557,6799397,1608,4570,124
2024-11-13 00:00,3339716,3283533,3056557,6803638,2648,1710,39
2024-11-14 00:00,3344801,3293911,3056557,6805262,2185,1983,39
2024-11-15 00:00,3348876,3303577,3056557,6805808,2340,1872,39
2024-11-16 00:00,3353012,3315370,3056557,6805824,3715,1837,668
2024-11-17 00:00,3373275,3315370,3056557,6805824,2772,1735,123
2024-11-18 00:00,3390023,3315370,3063039,6805824,2209,1786,35
2024-11-19 00:00,3397396,3325955,3063039,6818115,2463,1811,36
2024-11-20 00:00,3404252,3342283,3063039,6818378,2990,2382,40
2024-11-21 00:00,3413328,3365212,3063039,6818398,2285,1884,39
2024-11-22 00:00,3422141,3387252,3063039,6818483,2447,1796,41
2024-11-23 00:00,3432038,3404024,3063039,6819633,3602,2976,656
2024-11-24 00:00,3465933,3404024,3063338,6819633,2318,3771,38
2024-11-25 00:00,3478661,3404024,3065411,6819633,2167,1181,38
2024-11-26 00:00,3480920,3412793,3065411,6819683,2553,1918,39
2024-11-27 00:00,3487427,3425721,3065411,6820720,3846,1304,126
2024-11-28 00:00,3494677,3443341,3065411,6820720,2213,2223,40
2024-11-29 00:00,3500658,3453855,3065411,6825356,3054,1875,39
2024-11-30 00:00,3507247,3468536,3065411,6831464,4072,1952,585
2024-12-01 00:00,3536530,3468536,3067695,6831464,1351,2969,38
2024-12-02 00:00,3564613,3468536,3070934,6831464,2780,2394,40
2024-12-03 00:00,3569786,3480379,3070934,6831961,2251,684,37
2024-12-04 00:00,3575443,3491832,3070934,6834351,2671,2098,40
2024-12-05 00:00,3584558,3507968,3070934,6838806,3917,3096,41
2024-12-06 00:00,3593247,3529192,3070934,6838806,2529,1543,40
2024-12-07 00:00,3597757,3538738,3070934,6839740,3574,108,669
2024-12-08 00:00,3616891,3538738,3074035,6839740,1051,112,40
2024-12-09 00:00,3630386,3538738,3076884,6839740,1078,111,40
2024-12-10 00:00,3637224,3550464,3076884,6839750,1090,152,39
2024-12-11 00:00,3643844,3562697,3076884,6839750,2377,142,35
2024-12-12 00:00,3651769,3574890,3076884,6839946,2106,108,37
2024-12-13 00:00,3657611,3587438,3076884,6839946,2206,102,38
2024-12-14 00:00,3665534,3604125,3076884,6839946,3595,105,686
2024-12-15 00:00,3692820,3604125,3076920,6839946,1707,125,38
2024-12-16 00:00,3708288,3604125,3076920,6839946,2658,2195,36
2024-12-17 00:00,3712254,3616731,3076920,6839970,2347,1854,113
2024-12-18 00:00,3717155,3629635,3076920,6840676,2796,1824,41
2024-12-19 00:00,3721889,3640673,3076920,6840676,2269,2004,35
2024-12-20 00:00,3725553,3655947,3076920,6840676,2119,1836,36
2024-12-21 00:00,3732007,3665851,3076920,6844139,3644,1776,675
2024-12-22 00:00,3752667,3665851,3076977,6844139,2793,1884,40
2024-12-23 00:00,3774183,3665851,3077201,6844139,2081,102,41
2024-12-24 00:00,3780661,3674217,3077201,6850837,2031,107,37
2024-12-25 00:00,3788392,3685200,3077201,6850939,1658,162,35
2024-12-26 00:00,3800305,3685200,3077209,6850939,2664,1584,35
2024-12-27 00:00,3820097,3685200,3077209,6850939,2424,1778,34
2024-12-28 00:00,3826868,3701767,3077209,6850997,5515,2475,702
2024-12-29 00:00,3869921,3701767,3077209,6850997,2766,2370,36
2024-12-30 00:00,3893112,3701767,3077209,6850997,3739,2080,41
2024-12-31 00:00,3899170,3718133,3077209,6850997,3343,839,42
2025-01-01 00:00,3904097,3735253,3077209,6850997,3589,2235,118
2025-01-02 00:00,3926107,3735253,3077209,6850997,2246,2576,40
2025-01-03 00:00,3935741,3748816,3077209,6857384,2955,2049,41
2025-01-04 00:00,3947888,3770575,3077209,6857552,3514,2431,676
2025-01-05 00:00,3984160,3770575,3077341,6857552,2912,2479,56
2025-01-06 00:00,4016875,3770575,3077341,6857552,2122,2469,40
2025-01-07 00:00,4022067,3783771,3077341,6857608,2232,1834,40
2025-01-08 00:00,4032007,3799150,3077341,6860571,4244,2126,37
2025-01-09 00:00,4041955,3812934,3077341,6865780,2469,1955,37
2025-01-10 00:00,4053188,3830455,3077341,6869234,3750,2897,122
2025-01-11 00:00,4062520,3845896,3077341,6876877,3618,1730,284
2025-01-12 00:00,4089504,3845896,3082874,6876877,2494,685,39
2025-01-13 00:00,4111790,3845896,3085383,6876877,2791,1091,39
2025-01-14 00:00,4122265,3856457,3085383,6891484,2648,2095,40
2025-01-15 00:00,4133391,3871329,3085383,6891491,3097,4838,41
2025-01-16 00:00,4138388,3886100,3085383,6891547,2089,2011,36
2025-01-17 00:00,4146772,3900682,3085383,6891547,3577,949,41
2025-01-18 00:00,4156912,3924785,3085383,6891547,3598,2039,664
2025-01-19 00:00,4199250,3924785,3085383,6891547,3755,1204,62
2025-01-20 00:00,4236002,3924785,3085383,6891547,3478,2346,41
2025-01-21 00:00,4248049,3950902,3085383,6891547,3613,1041,38
2025-01-22 00:00,4259251,3972532,3085383,6891547,2870,1035,110
2025-01-23 00:00,4271275,3989758,3085383,6892125,2521,2013,38
2025-01-24 00:00,4278546,4002893,3085383,6894565,2795,1037,39
2025-01-25 00:00,4284217,4017992,3085383,6894565,3587,2011,695
2025-01-26 00:00,4308609,4017992,3086625,6894565,3577,2457,40
2025-01-27 00:00,4334315,4017992,3095291,6894565,1874,2463,38
2025-01-28 00:00,4341711,4026955,3095291,6903687,3336,775,33
2025-01-29 00:00,4349799,4037003,3095291,6907597,2787,2516,39
2025-01-30 00:00,4355556,4049622,3095291,6908527,2547,1923,39
2025-01-31 00:00,4364505,4062654,3095291,6909202,3922,933,38
2025-02-01 00:00,4374163,4073814,3095291,6923544,3161,1893,301
2025-02-02 00:00,4393359,4073814,3099373,6923544,2470,118,33
